DTRH real Scale X value,DTRH real Scale Y value,,
134.2,0.53601
134.4,0.58285
134.6,0.60496
134.8,0.62707
135,0.60104
135.2,0.57501
135.4,0.54897
135.6,0.49952
135.8,0.45007
136,0.40062
136.2,0.35253
136.4,0.30445
136.6,0.25761
136.8,0
137,0
137.2,0
137.4,0
137.6,0
137.8,0
138,0
138.2,0
138.4,0
138.6,0
138.8,0
139,0
139.2,0
139.4,0
139.6,0
139.8,0
140,0
140.2,0
140.4,0.46252
140.6,0.54661
140.8,0.64118
141,0.73575
141.2,0.84116
141.4,0.94658
141.6,1.052
141.8,1.1154
142,1.1787
142.2,1.2421
142.4,1.2593
142.6,1.2765
142.8,1.2898
143,1.3031
143.2,1.3164
143.4,1.3193
143.6,1.3221
143.8,1.3012
144,1.2804
144.2,1.2595
144.4,1.2264
144.6,1.1934
144.8,1.1603
145,1.1314
145.2,1.1025
145.4,1.0663
145.6,1.0302
145.8,0.99407
146,0.94746
146.2,0.90084
146.4,0.86709
146.6,0.83334
146.8,0.79958
147,0.75788
147.2,0.71617
147.4,0.67446
147.6,0.61476
147.8,0.55507
148,0.50646
148.2,0.45786
148.4,0.40925
148.6,0.3648
148.8,0.32034
149,0.26955
149.2,0.21876
149.4,0.16797
149.6,0.13732
149.8,0.10666
150,0.076006
150.2,0
150.4,0
150.6,0
150.8,0
151,0
151.2,0
151.4,0
151.6,0
151.8,0
152,0
152.2,0
152.4,0
152.6,0
152.8,0
153,0
153.2,0
153.4,0
153.6,0
153.8,0
154,0
154.2,0
154.4,0
154.6,0
154.8,0
155,0
155.2,0
155.4,0
155.6,0
155.8,0
156,0
156.2,0
156.4,0
156.6,0
156.8,0
157,0
157.2,0
157.4,0
157.6,0
157.8,0
158,0
158.2,0
158.4,0
158.6,0
158.8,0
159,0
159.2,0
159.4,0
159.6,0
159.8,0
160,0
160.2,0.12262
160.4,0.18021
160.6,0.2378
160.8,0.29539
161,0.39335
161.2,0.49131
161.4,0.58928
161.6,0.67702
161.8,0.76476
162,0.8831
162.2,1.0014
162.4,1.1198
162.6,1.2791
162.8,1.4384
163,1.5605
163.2,1.6827
163.4,1.8048
163.6,1.9688
163.8,2.1328
164,2.2969
164.2,2.4609
164.4,2.6249
164.6,2.7973
164.8,2.9697
165,3.1421
165.2,3.3218
165.4,3.5015
165.6,3.6812
165.8,3.8609
166,4.0406
166.2,4.1806
166.4,4.3205
166.6,4.4605
166.8,4.6432
167,4.826
167.2,4.9595
167.4,5.093
167.6,5.2266
167.8,5.3383
168,5.45
168.2,5.5882
168.4,5.7264
168.6,5.8646
168.8,5.9602
169,6.0559
169.2,6.1516
169.4,6.1753
169.6,6.199
169.8,6.1935
170,6.1879
170.2,6.1824
170.4,6.1505
170.6,6.1185
170.8,6.0098
171,5.901
171.2,5.7923
171.4,5.6344
171.6,5.4765
171.8,5.3186
172,5.1898
172.2,5.0611
172.4,4.9069
172.6,4.7527
172.8,4.5985
173,4.3895
173.2,4.1804
173.4,4.0217
173.6,3.8629
173.8,3.7042
174,3.5465
174.2,3.3888
174.4,3.185
174.6,2.9812
174.8,2.7773
175,2.6281
175.2,2.479
175.4,2.3298
175.6,2.2014
175.8,2.0729
176,1.9104
176.2,1.7478
176.4,1.5853
176.6,1.4371
176.8,1.2889
177,1.1531
177.2,1.0172
177.4,0.88134
177.6,0.74548
177.8,0.60963
178,0.47377
178.2,0
178.4,0
178.6,0
178.8,0
179,0
179.2,0
179.4,0
179.6,0
179.8,1.3879e-16
180,1.5861e-16
180.2,1.5861e-16
180.4,1.5861e-16
180.6,1.5861e-16
180.8,1.5861e-16
181,1.5861e-16
181.2,0.024305
181.4,0
181.6,0
181.8,0
182,0
182.2,0
182.4,0.26735
182.6,0.31596
182.8,0.41524
183,0.51451
183.2,0.61379
183.4,0.75933
183.6,0.90488
183.8,1.0261
184,1.1474
184.2,1.2686
184.4,1.4148
184.6,1.561
184.8,1.7549
185,1.9488
185.2,2.1426
185.4,2.2858
185.6,2.4291
185.8,2.5723
186,2.718
186.2,2.8637
186.4,3.0576
186.6,3.2515
186.8,3.4454
187,3.59
187.2,3.7346
187.4,3.8857
187.6,4.0367
187.8,4.1878
188,4.3931
188.2,4.5985
188.4,4.8038
188.6,4.9603
188.8,5.1169
189,5.2759
189.2,5.435
189.4,5.594
189.6,5.8045
189.8,6.0149
190,6.201
190.2,6.387
190.4,6.5731
190.6,6.7347
190.8,6.8962
191,7.0578
191.2,7.2194
191.4,7.3809
191.6,7.4643
191.8,7.5476
192,7.631
192.2,7.6354
192.4,7.6399
192.6,7.6145
192.8,7.5892
193,7.5639
193.2,7.4627
193.4,7.3615
193.6,7.2148
193.8,7.068
194,6.9212
194.2,6.802
194.4,6.6829
194.6,6.5637
194.8,6.4237
195,6.2837
195.2,6.0963
195.4,5.9089
195.6,5.7216
195.8,5.5803
196,5.439
196.2,5.2951
196.4,5.1511
196.6,5.0072
196.8,4.8158
197,4.6243
197.2,4.4329
197.4,4.2898
197.6,4.1467
197.8,4.0063
198,3.8658
198.2,3.7254
198.4,3.5393
198.6,3.3533
198.8,3.2154
199,3.0776
199.2,2.9397
199.4,2.8082
199.6,2.6767
199.8,2.5452
200,2.3736
200.2,2.2021
200.4,2.0752
200.6,1.9483
200.8,1.8214
201,1.7035
201.2,1.5856
201.4,1.4352
201.6,1.2848
201.8,1.1345
202,1.0253
202.2,0.91607
202.4,0.80688
202.6,0.7225
202.8,0.63812
203,0.5385
203.2,0.43888
203.4,0.33926
203.6,0.27631
203.8,0.21336
204,0.19078
204.2,0
204.4,0
204.6,0
204.8,0
205,0
205.2,0.12137
205.4,0.13157
205.6,0.15923
205.8,0.18689
206,0.21455
206.2,0.24222
206.4,0.26988
206.6,0.29836
206.8,0.32684
207,0.35532
207.2,0.3877
207.4,0.42008
207.6,0.44282
207.8,0.46556
208,0.4883
208.2,0.53829
208.4,0.58827
208.6,0.63826
208.8,0.71874
209,0.79922
209.2,0.87099
209.4,0.94276
209.6,1.0145
209.8,1.1236
210,1.2327
210.2,1.3898
210.4,1.5469
